name,type,model,ip,ap_group,ethernet_mac,map_location,radio_mac,building_id,building_name,RoomNum,AP_Model,In_Roomb,In_Hallb,In_OpenArea,On_Celing,On_Wall,On_Desk
bryancenter-roof-ap1562d-rw-10,AP1562D,AIR-AP1562D-B-K9,10.140.186.193,bryancenter-ag,00:62:ec:4a:80:ec,defaultlocation,2c:d0:2d:11:b4:40,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-024-ap3702i-hc-1,AP3700I,AIR-CAP3702I-A-K9,10.140.186.66,bryancenter-ag,00:42:68:95:ba:60,Bryancenter,00:42:68:a2:88:f0,7791.0,BryanStudentCenter,024,ap3702i,False,True,False,True,False,False
bryancenter-310-ap3602i-rc-2,AP3600I,AIR-CAP3602I-A-K9,10.140.186.187,bryancenter-ag,4c:4e:35:60:59:3c,defaultlocation,70:10:5c:82:29:30,7791.0,BryanStudentCenter,310,ap3602i,True,False,False,True,False,False
bryancenter-loop-ap3602i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.150,bryancenter-ag,b0:fa:eb:88:7e:c9,defaultlocation,20:bb:c0:e7:83:a0,7791.0,BryanStudentCenter,loop,ap3602i,True,False,False,True,False,False
bryancenter-311-ap3502i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.166,bryancenter-ag,4c:4e:35:c7:2a:26,defaultlocation,70:10:5c:a0:42:50,7791.0,BryanStudentCenter,311,ap3502i,True,False,False,True,False,False
bryancenter-roof-ap1562d-rw-3,AP1562D,AIR-AP1562D-B-K9,10.140.186.173,bryancenter-ag,2c:33:11:0e:2b:ce,defaultlocation,a0:23:9f:b4:95:40,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-tkoff-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.56,bryancenter-ag,c4:64:13:76:64:d3,BryanCtr,c4:0a:cb:eb:26:20,7791.0,BryanStudentCenter,tkoff,ap3502i,False,True,False,True,False,False
bryancenter-0029-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.132,bryancenter-ag,c4:64:13:5b:a8:df,defaultlocation,c4:0a:cb:df:20:b0,7791.0,BryanStudentCenter,0029,ap3502i,False,True,False,True,False,False
bryanctr-mcdonalds-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.62,bryancenter-ag,c4:64:13:5b:a8:f4,BryanCtr,c4:0a:cb:df:25:50,7791.0,BryanStudentCenter,mcdonalds,ap3502i,True,False,False,True,False,False
bryancenter-310-ap3602i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.110,bryancenter-ag,b0:fa:eb:88:83:8e,defaultlocation,20:bb:c0:e7:cf:c0,7791.0,BryanStudentCenter,310,ap3602i,True,False,False,True,False,False
